offset(byte),name(의미),size(bytes),설명,JSON 변환 이름의 의미,,,,,,,,
187,AK AC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 AK AC,,,,,,,,
188,K1 AC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 K1 AC,,,,,,,,
189,K2 AC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 K2 AC,,,,,,,,
190,HB DC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 HB DC,,,,,,,,
191,LB1 DC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 LB1 DC,,,,,,,,
192,LB2 DC ON,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),호차별 LB2 DC,,,,,,,,
193,1호차 FC(V),2 ,,호차별 FC(V),,,,,,,,
195,2호차 FC(V),2 ,,호차별 FC(V),,,,,,,,
197,4호차 FC(V),2 ,,호차별 FC(V),,,,,,,,
199,7호차 FC(V),2 ,,호차별 FC(V),,,,,,,,
201,8호차 FC(V),2 ,,호차별 FC(V),,,,,,,,
203,0호차 SIV 출력전압,1 ,,호차별 SIV 출력전압,,,,,,,,
204,5호차 SIV 출력전압,1 ,,호차별 SIV 출력전압,,,,,,,,
205,9호차 SIV 출력전압,1 ,,호차별 SIV 출력전압,,,,,,,,
206,0호차 SIV 출력전류,2 ,,호차별 SIV 출력전류,,,,,,,,
208,5호차 SIV 출력전류,2 ,,호차별 SIV 출력전류,,,,,,,,
210,9호차 SIV 출력전류,2 ,,호차별 SIV 출력전류,,,,,,,,
212,0호차 SIV 주파수,1 ,,호차별 SIV 주파수,,,,,,,,
213,5호차 SIV 주파수,1 ,,호차별 SIV 주파수,,,,,,,,
214,9호차 SIV 주파수,1 ,,호차별 SIV 주파수,,,,,,,,
215,0호차 SIV AC 가선전압,1 ,,호차별 SIV AC 가선전압,,,,,,,,
216,5호차 SIV AC 가선전압,1 ,,호차별 SIV AC 가선전압,,,,,,,,
217,9호차 SIV AC 가선전압,1 ,,호차별 SIV AC 가선전압,,,,,,,,
218,0호차 SIV DC 가선전압,1 ,,호차별 SIV DC 가선전압,,,,,,,,
219,5호차 SIV DC 가선전압,1 ,,호차별 SIV DC 가선전압,,,,,,,,
220,9호차 SIV DC 가선전압,1 ,,호차별 SIV DC 가선전압,,,,,,,,
221,0호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
223,1호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
225,2호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
227,3호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
229,4호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
231,5호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
233,6호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
235,7호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
237,8호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
239,9호차 ECU AS압력,2 ,,호차별 ECU AS압력,,,,,,,,
241,1호차 회생제동력,1 ,,호차별 회생제동력,,,,,,,,
242,2호차 회생제동력,1 ,,호차별 회생제동력,,,,,,,,
243,4호차 회생제동력,1 ,,호차별 회생제동력,,,,,,,,
244,7호차 회생제동력,1 ,,호차별 회생제동력,,,,,,,,
245,8호차 회생제동력,1 ,,호차별 회생제동력,,,,,,,,
246,BC코크1,2 ,bit0(0호차) ~ bit9(9호차),호차별 BC코크1,,,,,,,,
248,BC코크2,2 ,bit0(0호차) ~ bit9(9호차),호차별 BC코크2,,,,,,,,
250,AS코크1,2 ,bit0(0호차) ~ bit9(9호차),호차별 AS코크1,,,,,,,,
252,AS코크2,2 ,bit0(0호차) ~ bit9(9호차),호차별 AS코크2,,,,,,,,
254,제동풀림 코크,2 ,bit0(0호차) ~ bit9(9호차),호차별 제동풀림 코크,,,,,,,,
256,PANPS1,1 ,bit0(2호차)  bit1(4호차)  bit3(8호차),호차별 PANPS1,,,,,,,,
257,PANPS2,1 ,bit0(2호차)  bit1(4호차)  bit3(8호차),호차별 PANPS2,,,,,,,,
258,예비,1 ,,,,,,,,,,
259,예비,1 ,,,,,,,,,,
260,MCB코크,1 ,bit0(2호차)  bit1(4호차)  bit3(8호차),호차별 MCB코크,,,,,,,,
261,0호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
262,1호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
263,2호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
264,3호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
265,4호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
266,5호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
267,6호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
268,7호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
269,8호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
270,9호차 객실 동작모드,1 ,bit0(정비) bit1(정지) bit2(자동) bit3(수동),호차별 객실 동작모드,,,,,,,,
271,0호차 운전실 동작모드,1 ,bit0(강풍) bit1(중풍) bit2(약풍) bit3(환기),호차별 운전실 동작모드,,,,,,,,
272,9호차 운전실 동작모드,1 ,bit0(강풍) bit1(중풍) bit2(약풍) bit3(환기),호차별 운전실 동작모드,,,,,,,,
273,중앙송풍기 ON,2 ,bit0(0호차) ~ bit9(9호차),호차별 중앙송풍기 ON,,,,,,,,
275,단부송풍기 ON,2 ,bit0(0호차) ~ bit9(9호차),호차별 단부송풍기 ON,,,,,,,,
